name,sku,available,purchase_option,price,cost_price,container_water_weight,container_sweets_weight,width,height,depth,weight,description,meta_description,brand,type[Butter],type[Caramel],type[Chewy],type[Chocolate],type[Dried Fruit],type[Fizzy],type[Gum],type[Gummy],type[Hard],type[Jelly],type[Liquorice],type[Lollipop],type[Mint],type[Nougat],type[Novelty],type[Nuts],type[Sherbet],type[Traditional],type[Toffee],type[Wrapped],flavour[Aniseed],flavour[Apple],flavour[Banana],flavour[Blackcurrant],flavour[Bubblegum],flavour[Cherry],flavour[Chocolate],flavour[Coconut],flavour[Cola],flavour[Cream],flavour[Custard],flavour[Mixed Fruit],flavour[Ginger],flavour[Lemon],flavour[Lime],flavour[Mint],flavour[Orange],flavour[Pear],flavour[Raspberry],flavour[Rhubarb],flavour[Salt],flavour[Sour],flavour[Strawberry],flavour[Toffee],flavour[Vanilla],flavour[Watermelon],colour[Black],colour[Blue],colour[Brown],colour[Green],colour[Orange],colour[Pink],colour[Purple],colour[Rainbow],colour[Red],colour[White],colour[Yellow],contains[Alcohol],contains[Gluten],contains[Lactose],contains[Nuts],contains[Sugar],contains[Gelatin],ingredients,serving_size,energy,protein,carbohydrates,fat
ABC Letters,HBG-JR-001-01,TRUE,1,0.01,0.0065,919,545,,,,,Fruit letter shaped candies to spell out with.,ABC Letters sweets only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,1,1,1,"Sugar, Dextrose, Gelatine, Citric Acid, Modified Starch, Colours: E100, E120",100,383,0.5,94.9,0
Acid Drops,HBG-JR-002-01,TRUE,1,0.01,0.0065,919,567,,,,,Traditional sour hard boiled sweets.,Acid Drops only Ł1/100g. Traditional sweets and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,1,,"Sugar, Glucose, Citric Acid, Flavour",,,,,
Alphabet Chocolate (A is For Almond),HBG-NV-001-01,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with whole almond pieces.",Almond Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin. Flavouring: Natural Vanilla, Almonds",,,,,
Alphabet Chocolate (B is for Banana),HBG-NV-001-02,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with whole banana pieces.",Banana Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,1,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin. Flavouring: Natural Vanilla, Banana",,,,,
Alphabet Chocolate (C is for Caramel),HBG-NV-001-03,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with caramel notes.",Caramel Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,1,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Sugar 37%, Cocoa Butter 26.5%, Whole Milk Powder 25.5%, Cocoa Mass 6.5%, Soy Lecithin 0.5%, Flavouring: Natural Vanilla, Caramelised Sugar, Lactose. Emulsifier: Soy Lecithin (Skimmed Milk Powder, Milk Proteins, Sugar, Butter).",,,,,
Alphabet Chocolate (D is for Dark Chilli),HBG-NV-001-04,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Dark chocolate with a subtle, fiery kick.",Dark Chilli Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 53.8%, Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin. Flavouring: Natural Vanilla, Emulsifier, Dried Crushed Chillies",,,,,
Alphabet Chocolate (E is for Eton Mess),HBG-NV-001-05,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Strawberry infused chocolate with meringue pieces.",Eton Mess Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,1,1,1,,"Cocoa 28%, Sugar, Cocoa Butter, Whole Milk Powder, Soy Lecithin. Flavouring: Natural Vanilla, Emulsifier, Strawberry, Sugar, Egg White (Thickeners: Guar Gum and Xanthan Gum)",,,,,
Alphabet Chocolate (F is for Fudge Brownie),HBG-NV-001-06,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate and fudge brownie pieces.",Fudge Brownie Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Granulated Sugar, Full Cream, Sweetened Condensed Milk, Fondant (Sugar, Glucose, Water), Vegetable Oil, Cocoa Powder, Glucose",,,,,
Alphabet Chocolate (G is for Ginger),HBG-NV-001-07,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Dark chocolate with ginger pieces.",Ginger Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,,"Cocoa 53.8%, Cocoa Mass, Sugar, Cocoa Butter, Soy Lecithin, Flavouring: Natural Vanilla, Emulsifier, Ginger, Sugar",,,,,
Alphabet Chocolate (H is for Honeycomb),HBG-NV-001-08,FALSE,0,2.89,1.8,,,165,80,15,0,"A fun way to spell out your name or a personal message in a variety of flavours. With choices of chocolate bar from gold covered pieces of almond and walnut to yoghurt covered raisins, this is a delicious way to learn your ABC’s - Smooth milk chocolate with cinder toffee pieces.",Honeycomb Alphabet Chocolate for Ł2.89. Traditional sweet treats and more at Humbugs Confectionery Store. Specialists in satisfying your sweet tooth!,Laybella,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,"Cocoa 33.6%, Sugar, Cocoa Butter, Whole Milk Powder, Cocoa Mass, Soy Lecithin, Flavouring: Natural Vanilla, Cane Sugar, Glucose Syrup, Bicarbonate of Soda, Wheat Flour",,,,,
